Name,Start date,End date,Website,Country,Region,Town,Address,Price,Camping,Note
Jazz à Zilli,2018-06-15,2018-06-17,www.festivaljazzmanouche.org,France,Grand Est,Zillisheim,Salle polyvalente de Zillisheim - Rue de Didenheim - 68720 Zillisheim,0,,Le festival recherche des bénévoles
Jazz à Pref’,2018-05-10,2018-05-13,http://www.musicscool.fr,France,Pays de la Loire,Préfailles,"31 Grande Rue, Préfailles",,,
Festival Mazeres,2018-08-10,2018-08-12,https://www.festivalmazeres.fr,France,Occitanie,Mazeres,,55,,
Jazz festival Forbach,2018-06-02,2018-06-03,http://www.jazzfestivalforbach.fr,France,Grand Est,Forbach,,60,,
Django sur Lennon,2017-10-27,2017-10-30,https://www.facebook.com/djangosurlennon/,Ireland,,Ramelton,"Town Hall, Ramelton Co Donegal, Ireland",,,
Django Amsterdam,2018-01-26,2018-01-28,http://djangoamsterdam.com/,Netherlands,,Amsterdam,,,,
Django l'H,2018-11-19,2018-11-25,https://www.facebook.com/DjangoLH/,Spain,,Barcelona,,,,
Pennabilli Django Festival,2017-12-28,2017-12-30,http://www.pennabillidjangofestival.com/,Italy,,Pennabilli,,,,
OZ Manouche,2017-11-23,2017-11-26,http://www.ozmanouche.com/,Australia,,Brisbane,"Brisbane Jazz Club, 1 Annie St, Kangaroo Point QLD 4169, Australia",,,
St. Louis Gypsy Jazz Festival,2018-10-26,2018-10-28,https://www.facebook.com/StLouisGypsyJazzFestival/,USA,,St. Louis,,,,
Festival de Jazz Manouche Piracicaba,2018-10-19,2018-10-21,http://www.hotclubdepiracicaba.com.br/,Brasil,,Piracicaba,,,,
Django Reinhardt Gipsy Festival NL,2018-10-19,2018-10-21,https://www.facebook.com/Django-Reinhardt-Gipsy-Festival-NL-282608375428012/,Netherlands,,The Hague,,,,
Django by the Sea,2018-10-04,2018-10-07,http://www.djangobythesea.com/,USA,,Portsmouth,,,,
Djangofest North West,2018-09-19,2018-09-23,https://www.djangofestnw.com/,USA,,Whidbey Island,,,,
Samois Sur Ticino,2018-09-23,2018-09-25,https://www.facebook.com/events/1580843758884168/,Italy,,Giussago,"Cascina S. Colombanino, 27010 Giussago PV, Italy",,,
Djangofest Athens,2018-09-28,2018-09-30,https://www.facebook.com/djangofest.greece/,Greece,,Athens,,,,
Midwest Gypsy Swing Fest,2018-09-14,2018-09-15,http://midwestgypsyswingfest.com/,USA,,Madison,,,,
Chicago Gypsy Jazz Festival,2018-09-14,2018-09-16,https://www.facebook.com/events/1943532989193141/,USA,,Chicago,,,,
Gypsy Days,2018-08-25,2018-08-27,https://www.facebook.com/events/1943532989193141/,Denmark,,Follenslev,Vesterlyng Camping,,,
Django Reinhardt Fest - Tilburg,2018-08-26,2018-08-27,https://www.facebook.com/djangoreinhardtfest/,Netherlands,,Tilburg,,,,
Raduno Manouche,2018-08-24,2018-08-26,http://www.radunomanouche.it/programma2016.html,Italy,Sicily,Petralia,,,,
Paris Django Camp,2018-07-06,2018-07-08,https://www.facebook.com/Paris-Django-Camp-191381641273069/,France,,Paris,,,No,
The Los Angeles Django Reinhardt Festival,2018-07-14,2018-07-15,https://www.facebook.com/events/1836461403237195/,USA,California,Los Angeles,,,,
Django Reinhardt Festival - Hildesheim,2018-07-07,2018-07-08,https://festival-django-reinhardt.de/,Germany,,Hildesheim,,,,
Festival des Puces,2018-06-15,2018-06-18,http://www.festivaldespuces.com/,France,,Paris,,,No,
Festival Django Reinhardt - Samois,2018-06-30,2018-07-09,http://www.festivaldjangoreinhardt.com/,France,Ile-de-France,Samois-Sur-Seine,,,Yes,
March Manouche,,,,,,,,,,
Django in June,2018-06-11,2018-06-17,http://djangoinjune.com/,USA,Massachusets,Northampton,,,,