Name,Start date,End date,Website,Country,Town
Django Amsterdam,2018-01-26,2018-01-28,http://djangoamsterdam.com/,Netherlands,Amsterdam
March Manouche,2018-03-23,2018-03-23,https://www.marchmanouche.co.uk/,UK,Menai Bridge
Jazz à Pref’,2018-05-10,2018-05-13,http://www.musicscool.fr,France,Préfailles
Jazz festival Forbach,2018-06-02,2018-06-03,http://www.jazzfestivalforbach.fr,France,Forbach
Django in June,2018-06-11,2018-06-17,http://djangoinjune.com/,USA,Northampton
Jazz à Zilli,2018-06-15,2018-06-17,www.festivaljazzmanouche.org,France,Zillisheim
Festival des Puces,2018-06-15,2018-06-18,http://www.festivaldespuces.com/,France,Paris
Festival Django Reinhardt - Samois,2018-06-30,2018-07-09,http://www.festivaldjangoreinhardt.com/,France,Samois-Sur-Seine
Paris Django Camp,2018-07-06,2018-07-08,https://www.facebook.com/Paris-Django-Camp-191381641273069/,France,Paris
Django Reinhardt Festival - Hildesheim,2018-07-07,2018-07-08,https://festival-django-reinhardt.de/,Germany,Hildesheim
The Los Angeles Django Reinhardt Festival,2018-07-14,2018-07-15,https://www.facebook.com/events/1836461403237195/,USA,Los Angeles
Django Camp,2018-07-27,2018-07-29,https://www.marchmanouche.co.uk/django-camp-2018.html,UK,Menai Bridge
Festival Mazeres,2018-08-10,2018-08-12,https://www.festivalmazeres.fr,France,Mazeres
Raduno Manouche,2018-08-24,2018-08-26,http://www.radunomanouche.it/programma2016.html,Italy,Petralia
Gypsy Days,2018-08-25,2018-08-27,https://www.facebook.com/events/1943532989193141/,Denmark,Follenslev
Django Reinhardt Fest - Tilburg,2018-08-26,2018-08-27,https://www.facebook.com/djangoreinhardtfest/,Netherlands,Tilburg
Midwest Gypsy Swing Fest,2018-09-14,2018-09-15,http://midwestgypsyswingfest.com/,USA,Madison
Chicago Gypsy Jazz Festival,2018-09-14,2018-09-16,https://www.facebook.com/events/1943532989193141/,USA,Chicago
Djangofest North West,2018-09-19,2018-09-23,https://www.djangofestnw.com/,USA,Whidbey Island
Samois Sur Ticino,2018-09-23,2018-09-25,https://www.facebook.com/events/1580843758884168/,Italy,Giussago
Django sur Lennon,2018-09-27,2018-09-29,http://djangosurlennon.com/,Ireland,Ramelton
Djangofest Athens,2018-09-28,2018-09-30,https://www.facebook.com/djangofest.greece/,Greece,Athens
Django by the Sea,2018-10-04,2018-10-07,http://www.djangobythesea.com/,USA,Portsmouth
Festival de Jazz Manouche Piracicaba,2018-10-19,2018-10-21,http://www.hotclubdepiracicaba.com.br/,Brasil,Piracicaba
Django Reinhardt Gipsy Festival NL,2018-10-19,2018-10-21,https://www.facebook.com/Django-Reinhardt-Gipsy-Festival-NL-282608375428012/,Netherlands,The Hague
St. Louis Gypsy Jazz Festival,2018-10-26,2018-10-28,https://www.facebook.com/StLouisGypsyJazzFestival/,USA,St. Louis
Django l'H,2018-11-19,2018-11-25,https://www.facebook.com/DjangoLH/,Spain,Barcelona
OZ Manouche,2018-11-23,2018-11-26,http://www.ozmanouche.com/,Australia,Brisbane
Pennabilli Django Festival,2018-12-28,2018-12-30,http://www.pennabillidjangofestival.com/,Italy,Pennabilli